Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","640","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","575","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","41","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","52","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","335","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","224","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","7","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","6","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","554","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","900","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","640","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","631","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","35","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","35","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","2115","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","2265","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","13","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","6","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","165","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","182","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","12","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","12","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","33","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","33","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","1235","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","1282","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","16","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","39","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","42","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","152","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","143","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","114","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","100","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","83","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","83","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","109","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","115","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","35","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","31","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","1","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","044","Bahamas","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","7","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","044","Bahamas","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","6","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","044","Bahamas","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","26","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","044","Bahamas","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","31","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","044","Bahamas","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","048","Bahreïn","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","9","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","048","Bahreïn","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","68","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","048","Bahreïn","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","050","Bangladesh","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","255","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","050","Bangladesh","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","269","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","050","Bangladesh","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","050","Bangladesh","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","0","I","Valeur imputée"
